дата,регион,город,категория,товар,канал,количество,цена,продажи,прибыль
2025-01-05,Приволжский,Самара,Книги,Роман,Розница,2,644,1320,452
2025-01-06,Уральский,Екатеринбург,Электроника,Смартфон,Онлайн,7,47054,337612,84353
2025-01-06,Приволжский,Казань,Бытовая техника,Пылесос,Онлайн,3,13781,42377,16119
2025-01-06,Центральный,Воронеж,Электроника,Смартфон,Онлайн,1,49221,50452,11019
2025-01-06,Приволжский,Самара,Книги,Учебник,Онлайн,4,1288,5281,1185
2025-01-06,Уральский,Екатеринбург,Книги,Учебник,Розница,8,1148,9414,2597
2025-01-07,Приволжский,Самара,Бытовая техника,Холодильник,Розница,1,54579,55943,24375
2025-01-07,Приволжский,Казань,Электроника,Смартфон,Онлайн,2,45855,94003,26433
2025-01-07,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,2,51160,104878,31892
2025-01-08,Приволжский,Нижний Новгород,Одежда,Куртка,Розница,5,8812,45161,12739
2025-01-08,Уральский,Челябинск,Электроника,Смартфон,Онлайн,8,46090,377938,116878
2025-01-08,Центральный,Тула,Бытовая техника,Пылесос,Онлайн,3,15213,46780,10749
2025-01-08,Южный,Краснодар,Бытовая техника,Пылесос,Онлайн,5,14313,73354,14905
2025-01-09,Южный,Ростов-на-Дону,Электроника,Смартфон,Онлайн,5,41539,212887,90103
2025-01-09,Южный,Краснодар,Бытовая техника,Пылесос,Розница,4,14525,59552,14100
2025-01-09,Южный,Сочи,Электроника,Наушники,Розница,7,6395,45884,20142
2025-01-09,Приволжский,Нижний Новгород,Одежда,Куртка,Онлайн,8,9093,74563,25581
2025-01-09,Центральный,Москва,Бытовая техника,Холодильник,Онлайн,6,52858,325077,134249
2025-01-09,Центральный,Воронеж,Одежда,Куртка,Онлайн,6,8478,52140,20210
2025-01-10,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,3,55967,172099,76378
2025-01-10,Уральский,Екатеринбург,Одежда,Куртка,Розница,2,8789,18017,7933
2025-01-10,Приволжский,Казань,Книги,Учебник,Онлайн,5,1277,6545,1520
2025-01-10,Центральный,Тула,Бытовая техника,Пылесос,Розница,6,13380,82287,35601
2025-01-11,Уральский,Челябинск,Электроника,Смартфон,Розница,5,42107,215798,45181
2025-01-11,Центральный,Москва,Книги,Учебник,Онлайн,6,1185,7288,1486
2025-01-11,Уральский,Екатеринбург,Одежда,Куртка,Онлайн,7,8103,58139,12710
2025-01-11,Южный,Краснодар,Электроника,Наушники,Онлайн,6,6148,37810,10744
2025-01-12,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,7,1247,8947,2786
2025-01-12,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,7,14134,101411,45625
2025-01-12,Приволжский,Самара,Одежда,Кроссовки,Розница,8,7413,60787,24107
2025-01-12,Приволжский,Нижний Новгород,Электроника,Ноутбук,Онлайн,6,71657,440691,93427
2025-01-13,Приволжский,Казань,Бытовая техника,Холодильник,Онлайн,1,49346,50580,16753
2025-01-13,Уральский,Челябинск,Бытовая техника,Пылесос,Онлайн,8,13719,112496,46473
2025-01-13,Центральный,Воронеж,Бытовая техника,Холодильник,Онлайн,8,47322,388040,150443
2025-01-13,Уральский,Екатеринбург,Книги,Учебник,Розница,8,1227,10061,2718
2025-01-14,Уральский,Екатеринбург,Книги,Учебник,Розница,5,1260,6457,1550
2025-01-14,Уральский,Екатеринбург,Одежда,Кроссовки,Розница,2,7820,16031,6274
2025-01-14,Южный,Ростов-на-Дону,Электроника,Смартфон,Онлайн,3,42581,130937,36206
2025-01-14,Центральный,Воронеж,Книги,Учебник,Розница,8,1180,9676,3854
2025-01-14,Уральский,Екатеринбург,Книги,Учебник,Розница,1,1306,1339,503
2025-01-14,Уральский,Екатеринбург,Книги,Роман,Розница,5,691,3541,1568
2025-01-15,Приволжский,Самара,Бытовая техника,Холодильник,Онлайн,7,52956,379959,108003
2025-01-15,Уральский,Екатеринбург,Книги,Роман,Розница,1,666,683,251
2025-01-15,Южный,Краснодар,Книги,Учебник,Онлайн,7,1141,8187,3517
2025-01-15,Центральный,Воронеж,Бытовая техника,Холодильник,Онлайн,1,54644,56010,11908
2025-01-15,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,3,51725,159054,67026
2025-01-16,Южный,Краснодар,Бытовая техника,Холодильник,Онлайн,3,56833,174761,73920
2025-01-16,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,4,1098,4502,1249
2025-01-16,Центральный,Тула,Одежда,Футболка,Онлайн,2,1589,3257,1005
2025-01-16,Южный,Ростов-на-Дону,Книги,Учебник,Розница,2,1201,2462,898
2025-01-16,Уральский,Екатеринбург,Книги,Учебник,Розница,8,1250,10250,3497
2025-01-17,Уральский,Челябинск,Книги,Учебник,Онлайн,6,1284,7897,1914
2025-01-17,Южный,Краснодар,Бытовая техника,Пылесос,Розница,7,13542,97164,31717
2025-01-17,Приволжский,Самара,Бытовая техника,Пылесос,Розница,5,13553,69459,15970
2025-01-17,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,4,54289,222585,72976
2025-01-17,Уральский,Челябинск,Книги,Роман,Онлайн,2,671,1376,480
2025-01-17,Южный,Ростов-на-Дону,Одежда,Кроссовки,Розница,6,7388,45436,11973
2025-01-18,Уральский,Челябинск,Одежда,Кроссовки,Онлайн,4,6931,28417,11419
2025-01-18,Приволжский,Казань,Бытовая техника,Пылесос,Розница,5,14629,74974,15433
2025-01-18,Центральный,Москва,Одежда,Куртка,Онлайн,6,8423,51801,23127
2025-01-18,Южный,Сочи,Электроника,Наушники,Розница,5,6237,31965,13375
2025-01-19,Центральный,Тула,Одежда,Кроссовки,Онлайн,8,7411,60770,24546
2025-01-19,Южный,Краснодар,Электроника,Смартфон,Онлайн,7,44926,322344,98555
2025-01-20,Приволжский,Нижний Новгород,Одежда,Куртка,Онлайн,4,8313,34083,8824
2025-01-20,Уральский,Челябинск,Книги,Учебник,Онлайн,7,1153,8273,2438
2025-01-20,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Онлайн,2,13040,26732,10868
2025-01-21,Центральный,Воронеж,Книги,Учебник,Розница,5,1088,5576,2108
2025-01-21,Уральский,Екатеринбург,Бытовая техника,Пылесос,Онлайн,4,13790,56539,17745
2025-01-21,Южный,Сочи,Электроника,Смартфон,Розница,3,47634,146475,44124
2025-01-22,Центральный,Воронеж,Одежда,Футболка,Розница,7,1633,11717,3807
2025-01-22,Уральский,Екатеринбург,Электроника,Ноутбук,Онлайн,6,79618,489651,217177
2025-01-22,Центральный,Тула,Одежда,Футболка,Розница,1,1579,1618,657
2025-01-22,Южный,Сочи,Книги,Учебник,Розница,2,1193,2446,851
2025-01-22,Центральный,Москва,Одежда,Кроссовки,Онлайн,8,7182,58892,12585
2025-01-23,Центральный,Воронеж,Одежда,Кроссовки,Онлайн,2,8205,16820,5869
2025-01-23,Уральский,Челябинск,Электроника,Смартфон,Розница,6,46104,283540,92257
2025-01-23,Центральный,Москва,Одежда,Футболка,Розница,3,1628,5006,1704
2025-01-23,Центральный,Москва,Бытовая техника,Холодильник,Онлайн,5,52529,269211,83977
2025-01-23,Приволжский,Казань,Книги,Роман,Розница,3,700,2152,583
2025-01-24,Уральский,Челябинск,Бытовая техника,Пылесос,Онлайн,3,13674,42048,9231
2025-01-24,Центральный,Воронеж,Книги,Учебник,Розница,5,1277,6545,2482
2025-01-24,Уральский,Екатеринбург,Книги,Учебник,Розница,6,1160,7134,1850
2025-01-24,Уральский,Челябинск,Бытовая техника,Холодильник,Онлайн,7,49229,353218,90464
2025-01-24,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,7,1317,9449,2380
2025-01-25,Центральный,Москва,Одежда,Куртка,Онлайн,8,8279,67888,15098
2025-01-25,Приволжский,Самара,Бытовая техника,Холодильник,Розница,8,54928,450410,172842
2025-01-25,Центральный,Воронеж,Книги,Учебник,Онлайн,8,1289,10570,4662
2025-01-25,Приволжский,Нижний Новгород,Одежда,Куртка,Онлайн,2,8881,18206,7745
2025-01-25,Уральский,Екатеринбург,Одежда,Куртка,Розница,1,8684,8901,3881
2025-01-26,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,3,13076,40209,17300
2025-01-26,Приволжский,Самара,Бытовая техника,Холодильник,Онлайн,8,53434,438159,146830
2025-01-26,Уральский,Челябинск,Бытовая техника,Холодильник,Розница,8,56630,464366,94307
2025-01-26,Уральский,Челябинск,Книги,Учебник,Онлайн,4,1320,5412,1281
2025-01-27,Уральский,Челябинск,Одежда,Футболка,Розница,5,1357,6955,1687
2025-01-27,Южный,Сочи,Электроника,Наушники,Онлайн,8,6399,52472,11768
2025-01-27,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,3,14359,44154,9897
2025-01-28,Уральский,Екатеринбург,Одежда,Футболка,Розница,3,1377,4234,1593
2025-01-28,Приволжский,Казань,Бытовая техника,Пылесос,Розница,5,14925,76491,29507
2025-01-28,Южный,Ростов-на-Дону,Одежда,Куртка,Онлайн,8,9833,80631,33447
2025-01-28,Уральский,Челябинск,Электроника,Ноутбук,Розница,1,74326,76184,31929
2025-01-29,Уральский,Челябинск,Электроника,Наушники,Розница,4,5966,24461,7219
2025-01-29,Приволжский,Нижний Новгород,Электроника,Наушники,Розница,8,6491,53226,19931
2025-01-29,Центральный,Москва,Электроника,Смартфон,Онлайн,5,49463,253498,106715
2025-01-29,Приволжский,Самара,Книги,Учебник,Розница,7,1221,8761,2351
2025-01-30,Уральский,Челябинск,Одежда,Куртка,Онлайн,6,8491,52220,17693
2025-01-30,Южный,Сочи,Одежда,Футболка,Онлайн,6,1368,8413,3206
2025-01-31,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,1,54983,56358,21929
2025-01-31,Приволжский,Казань,Бытовая техника,Холодильник,Онлайн,4,50217,205890,85056
2025-01-31,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,3,12908,39692,9264
2025-01-31,Центральный,Воронеж,Бытовая техника,Пылесос,Розница,1,13088,13415,5861
2025-01-31,Центральный,Тула,Электроника,Ноутбук,Онлайн,8,82337,675163,217194
2025-02-01,Приволжский,Нижний Новгород,Электроника,Наушники,Онлайн,5,5950,31238,6529
2025-02-01,Уральский,Челябинск,Книги,Роман,Онлайн,8,730,6132,2079
2025-02-01,Южный,Ростов-на-Дону,Бытовая техника,Холодильник,Розница,3,49660,156429,45635
2025-02-01,Уральский,Челябинск,Книги,Учебник,Онлайн,2,1270,2667,1124
2025-02-01,Уральский,Челябинск,Бытовая техника,Пылесос,Онлайн,6,14917,93977,32922
2025-02-02,Уральский,Челябинск,Одежда,Кроссовки,Онлайн,3,7780,24507,8122
2025-02-02,Центральный,Москва,Книги,Роман,Розница,6,744,4687,1457
2025-02-02,Центральный,Воронеж,Одежда,Футболка,Розница,7,1610,11834,3192
2025-02-02,Южный,Краснодар,Электроника,Наушники,Онлайн,4,5586,23461,7729
2025-02-03,Южный,Сочи,Одежда,Футболка,Онлайн,4,1592,6686,1596
2025-02-03,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,5,15180,79695,28869
2025-02-03,Приволжский,Нижний Новгород,Книги,Роман,Онлайн,3,734,2312,479
2025-02-03,Приволжский,Самара,Книги,Учебник,Розница,6,1118,7043,2621
2025-02-04,Центральный,Москва,Бытовая техника,Холодильник,Розница,1,53809,56499,21581
2025-02-04,Уральский,Челябинск,Книги,Учебник,Розница,4,1261,5296,2233
2025-02-04,Центральный,Воронеж,Книги,Учебник,Онлайн,1,1133,1190,243
2025-02-04,Центральный,Москва,Одежда,Куртка,Онлайн,3,9475,29846,11271
2025-02-04,Центральный,Воронеж,Книги,Роман,Розница,3,683,2151,590
2025-02-04,Центральный,Воронеж,Электроника,Ноутбук,Розница,1,77372,81241,34977
2025-02-05,Уральский,Челябинск,Книги,Учебник,Онлайн,2,1177,2472,515
2025-02-05,Уральский,Челябинск,Электроника,Ноутбук,Онлайн,2,73996,155392,47050
2025-02-05,Уральский,Челябинск,Одежда,Куртка,Онлайн,6,9502,59863,25795
2025-02-05,Приволжский,Самара,Одежда,Футболка,Онлайн,3,1421,4476,1850
2025-02-05,Приволжский,Нижний Новгород,Бытовая техника,Холодильник,Розница,3,56693,178583,52327
2025-02-05,Уральский,Челябинск,Одежда,Куртка,Розница,8,8223,69073,23447
2025-02-06,Центральный,Воронеж,Электроника,Ноутбук,Розница,8,77250,648900,282776
2025-02-06,Центральный,Тула,Электроника,Наушники,Онлайн,7,5955,43769,13631
2025-02-06,Уральский,Екатеринбург,Одежда,Футболка,Розница,8,1500,12600,2653
2025-02-06,Центральный,Воронеж,Электроника,Наушники,Розница,3,5447,17158,4686
2025-02-07,Приволжский,Самара,Одежда,Кроссовки,Онлайн,7,7363,54118,19775
2025-02-07,Южный,Сочи,Одежда,Куртка,Онлайн,7,8611,63291,17029
2025-02-07,Южный,Сочи,Бытовая техника,Пылесос,Розница,5,15310,80378,22134
2025-02-07,Приволжский,Нижний Новгород,Электроника,Ноутбук,Онлайн,7,80238,589749,216957
2025-02-07,Центральный,Тула,Книги,Учебник,Онлайн,1,1167,1225,496
2025-02-07,Южный,Краснодар,Бытовая техника,Холодильник,Онлайн,3,48411,152495,57346
2025-02-08,Центральный,Тула,Одежда,Футболка,Онлайн,3,1529,4816,1981
2025-02-08,Приволжский,Нижний Новгород,Книги,Роман,Розница,7,681,5005,1352
2025-02-08,Южный,Ростов-на-Дону,Книги,Роман,Розница,4,673,2827,701
2025-02-08,Приволжский,Самара,Книги,Учебник,Розница,5,1267,6652,2157
2025-02-08,Приволжский,Казань,Бытовая техника,Пылесос,Онлайн,1,14395,15115,3499
2025-02-08,Центральный,Воронеж,Электроника,Смартфон,Розница,5,44544,233856,75223
2025-02-09,Приволжский,Самара,Одежда,Куртка,Онлайн,7,8196,60241,19548
2025-02-09,Уральский,Екатеринбург,Одежда,Куртка,Розница,1,8674,9108,3873
2025-02-10,Приволжский,Казань,Одежда,Кроссовки,Онлайн,3,7888,24847,8267
2025-02-10,Центральный,Москва,Одежда,Куртка,Розница,3,9088,28627,7678
2025-02-10,Центральный,Воронеж,Бытовая техника,Пылесос,Розница,2,12734,26741,9227
2025-02-11,Центральный,Воронеж,Электроника,Наушники,Онлайн,4,6262,26300,9920
2025-02-11,Южный,Сочи,Книги,Роман,Онлайн,2,703,1476,531
2025-02-12,Уральский,Екатеринбург,Книги,Учебник,Онлайн,5,1259,6610,2384
2025-02-12,Южный,Сочи,Электроника,Наушники,Розница,6,5560,35028,12678
2025-02-12,Приволжский,Нижний Новгород,Книги,Учебник,Розница,3,1275,4016,1744
2025-02-12,Центральный,Воронеж,Бытовая техника,Холодильник,Розница,4,56012,235250,87302
2025-02-12,Уральский,Челябинск,Одежда,Куртка,Онлайн,4,8615,36183,8484
2025-02-13,Южный,Сочи,Одежда,Кроссовки,Розница,7,7865,57808,13084
2025-02-13,Южный,Сочи,Книги,Учебник,Онлайн,6,1302,8203,2626
2025-02-13,Уральский,Екатеринбург,Книги,Роман,Розница,5,675,3544,1524
2025-02-13,Южный,Краснодар,Книги,Роман,Розница,8,679,5704,2506
2025-02-14,Уральский,Челябинск,Электроника,Смартфон,Онлайн,7,43770,321710,80339
2025-02-14,Центральный,Москва,Книги,Роман,Розница,3,639,2013,514
2025-02-14,Южный,Краснодар,Электроника,Наушники,Розница,3,6215,19577,4166
2025-02-14,Уральский,Екатеринбург,Бытовая техника,Пылесос,Онлайн,7,13480,99078,37682
2025-02-14,Центральный,Тула,Бытовая техника,Пылесос,Розница,7,15158,111411,46855
2025-02-14,Уральский,Екатеринбург,Одежда,Футболка,Онлайн,8,1410,11844,4928
2025-02-15,Приволжский,Нижний Новгород,Книги,Роман,Розница,6,723,4555,1242
2025-02-15,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,4,12940,54348,21726
2025-02-15,Приволжский,Самара,Электроника,Ноутбук,Онлайн,6,77492,488200,99713
2025-02-15,Центральный,Москва,Одежда,Кроссовки,Онлайн,8,7539,63328,16320
2025-02-15,Приволжский,Самара,Электроника,Ноутбук,Онлайн,8,80810,678804,246997
2025-02-16,Уральский,Екатеринбург,Электроника,Наушники,Онлайн,3,5765,18160,7437
2025-02-16,Южный,Ростов-на-Дону,Одежда,Куртка,Розница,5,8453,44378,9360
2025-02-16,Приволжский,Нижний Новгород,Одежда,Футболка,Онлайн,2,1501,3152,1286
2025-02-17,Южный,Ростов-на-Дону,Электроника,Смартфон,Розница,2,40909,85909,24882
2025-02-17,Приволжский,Нижний Новгород,Книги,Роман,Розница,8,754,6334,1986
2025-02-17,Уральский,Екатеринбург,Книги,Учебник,Розница,8,1098,9223,4012
2025-02-18,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,3,13475,42446,11478
2025-02-18,Уральский,Екатеринбург,Одежда,Футболка,Розница,2,1446,3037,1012
2025-02-18,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,1,49818,52309,18515
2025-02-18,Приволжский,Казань,Одежда,Футболка,Розница,6,1407,8864,3636
2025-02-18,Уральский,Челябинск,Книги,Роман,Онлайн,2,762,1600,518
2025-02-19,Южный,Сочи,Электроника,Ноутбук,Розница,8,79521,667976,159838
2025-02-19,Южный,Ростов-на-Дону,Электроника,Смартфон,Розница,7,41705,306532,117672
2025-02-19,Уральский,Челябинск,Электроника,Ноутбук,Розница,1,79096,83051,33331
2025-02-20,Уральский,Челябинск,Одежда,Футболка,Розница,2,1389,2917,1242
2025-02-20,Южный,Ростов-на-Дону,Одежда,Куртка,Онлайн,4,9184,38573,13487
2025-02-21,Центральный,Москва,Одежда,Кроссовки,Онлайн,8,6973,58573,13279
2025-02-21,Южный,Ростов-на-Дону,Одежда,Куртка,Розница,7,9883,72640,19262
2025-02-22,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,8,1276,10718,3836
2025-02-22,Уральский,Челябинск,Электроника,Наушники,Онлайн,8,5719,48040,13744
2025-02-22,Центральный,Тула,Книги,Роман,Онлайн,7,651,4785,1339
2025-02-22,Центральный,Москва,Электроника,Ноутбук,Онлайн,6,76733,483418,167630
2025-02-22,Уральский,Челябинск,Электроника,Наушники,Розница,3,6022,18969,5876
2025-02-22,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,6,14130,89019,25017
2025-02-23,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,5,13230,69458,14362
2025-02-23,Южный,Ростов-на-Дону,Бытовая техника,Пылесос,Розница,6,13943,87841,27220
2025-02-23,Южный,Сочи,Книги,Учебник,Розница,6,1309,8247,2052
2025-02-23,Центральный,Воронеж,Электроника,Ноутбук,Онлайн,8,80433,675637,177804
2025-02-23,Приволжский,Нижний Новгород,Одежда,Футболка,Онлайн,5,1391,7303,2162
2025-02-23,Приволжский,Казань,Бытовая техника,Холодильник,Розница,1,47842,50234,18457
2025-02-24,Приволжский,Казань,Бытовая техника,Пылесос,Розница,8,13937,117071,46844
2025-02-24,Южный,Краснодар,Электроника,Смартфон,Онлайн,4,45316,190327,51240
2025-02-25,Уральский,Екатеринбург,Электроника,Ноутбук,Розница,8,73106,614090,161352
2025-02-25,Центральный,Москва,Одежда,Футболка,Розница,2,1629,3421,1253
2025-02-25,Уральский,Екатеринбург,Книги,Учебник,Розница,4,1274,5351,1966
2025-02-26,Приволжский,Казань,Одежда,Кроссовки,Розница,4,7013,29455,6950
2025-02-26,Уральский,Челябинск,Электроника,Ноутбук,Розница,2,73083,153474,63668
2025-02-26,Приволжский,Казань,Одежда,Кроссовки,Розница,4,7420,31164,11944
2025-02-26,Южный,Ростов-на-Дону,Электроника,Ноутбук,Онлайн,6,81007,510344,221729
2025-02-27,Южный,Сочи,Книги,Учебник,Розница,2,1233,2589,556
2025-02-27,Приволжский,Казань,Бытовая техника,Пылесос,Розница,3,13874,43703,8863
2025-02-27,Уральский,Челябинск,Бытовая техника,Холодильник,Розница,2,52265,109756,34898
2025-02-27,Центральный,Тула,Электроника,Смартфон,Розница,4,45654,191747,79103
2025-02-27,Уральский,Екатеринбург,Бытовая техника,Пылесос,Онлайн,2,15117,31746,10750
2025-02-28,Приволжский,Нижний Новгород,Книги,Учебник,Розница,1,1214,1275,359
2025-02-28,Центральный,Воронеж,Одежда,Куртка,Розница,4,9141,38392,16842
2025-02-28,Центральный,Тула,Электроника,Смартфон,Онлайн,8,40786,342602,119151
2025-02-28,Уральский,Челябинск,Книги,Учебник,Онлайн,7,1170,8600,2402
2025-02-28,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,3,14638,46110,18182
2025-03-01,Южный,Краснодар,Книги,Учебник,Розница,4,1139,4898,1780
2025-03-01,Приволжский,Нижний Новгород,Электроника,Смартфон,Онлайн,7,46034,346406,74803
2025-03-02,Приволжский,Казань,Электроника,Наушники,Онлайн,1,5936,6381,1799
2025-03-02,Приволжский,Нижний Новгород,Электроника,Ноутбук,Онлайн,8,73856,635162,251323
2025-03-02,Приволжский,Нижний Новгород,Одежда,Куртка,Розница,6,9139,58947,15141
2025-03-03,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,5,13370,71864,22337
2025-03-03,Уральский,Челябинск,Электроника,Ноутбук,Розница,7,82459,620504,229783
2025-03-03,Уральский,Екатеринбург,Одежда,Кроссовки,Онлайн,3,7882,25419,8429
2025-03-04,Приволжский,Самара,Электроника,Наушники,Онлайн,7,6561,49372,15339
2025-03-04,Уральский,Екатеринбург,Одежда,Куртка,Розница,6,9264,59753,13112
2025-03-04,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,5,50723,272636,81452
2025-03-04,Центральный,Москва,Бытовая техника,Пылесос,Онлайн,4,15035,64650,23711
2025-03-05,Приволжский,Нижний Новгород,Электроника,Наушники,Онлайн,8,6497,55874,15426
2025-03-05,Уральский,Екатеринбург,Одежда,Кроссовки,Розница,7,7449,56054,16133
2025-03-05,Южный,Краснодар,Книги,Учебник,Розница,2,1273,2737,737
2025-03-06,Южный,Краснодар,Книги,Роман,Розница,4,734,3156,1407
2025-03-06,Южный,Сочи,Бытовая техника,Пылесос,Розница,4,13664,58755,14199
2025-03-06,Южный,Краснодар,Книги,Учебник,Онлайн,8,1120,9632,2420
2025-03-07,Уральский,Екатеринбург,Электроника,Наушники,Онлайн,1,6407,6888,2972
2025-03-07,Центральный,Воронеж,Бытовая техника,Холодильник,Розница,2,54155,116433,52129
2025-03-07,Южный,Сочи,Книги,Учебник,Онлайн,1,1082,1163,363
2025-03-08,Южный,Ростов-на-Дону,Одежда,Куртка,Онлайн,7,9551,71871,15995
2025-03-08,Центральный,Тула,Бытовая техника,Холодильник,Розница,4,53246,228958,88583
2025-03-09,Уральский,Екатеринбург,Одежда,Кроссовки,Онлайн,8,7598,65343,13228
2025-03-09,Южный,Ростов-на-Дону,Электроника,Наушники,Розница,1,5512,5925,2104
2025-03-09,Центральный,Тула,Электроника,Наушники,Розница,3,5499,17734,4233
2025-03-09,Центральный,Тула,Электроника,Смартфон,Розница,4,48611,209027,57885
2025-03-10,Центральный,Москва,Одежда,Футболка,Онлайн,1,1404,1509,358
2025-03-10,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Розница,2,13438,28892,8928
2025-03-10,Южный,Краснодар,Бытовая техника,Холодильник,Онлайн,6,47358,305459,104078
2025-03-10,Южный,Ростов-на-Дону,Книги,Учебник,Розница,1,1232,1324,336
2025-03-11,Приволжский,Самара,Книги,Учебник,Онлайн,3,1243,4009,1142
2025-03-11,Южный,Сочи,Электроника,Смартфон,Онлайн,5,41888,225148,61258
2025-03-11,Уральский,Челябинск,Одежда,Куртка,Розница,2,8109,17434,6502
2025-03-11,Южный,Сочи,Бытовая техника,Холодильник,Розница,3,51282,165384,51394
2025-03-11,Центральный,Москва,Электроника,Ноутбук,Розница,2,79512,170951,43403
2025-03-12,Южный,Краснодар,Книги,Роман,Розница,4,710,3053,1244
2025-03-12,Приволжский,Казань,Одежда,Кроссовки,Розница,5,7490,40259,17480
2025-03-13,Уральский,Челябинск,Книги,Роман,Розница,6,665,4289,1666
2025-03-13,Приволжский,Самара,Электроника,Смартфон,Розница,5,40561,218015,76540
2025-03-13,Южный,Краснодар,Одежда,Кроссовки,Онлайн,3,7201,23223,6948
2025-03-13,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,6,13416,86533,23906
2025-03-14,Приволжский,Самара,Книги,Учебник,Онлайн,7,1168,8789,1907
2025-03-14,Приволжский,Нижний Новгород,Электроника,Наушники,Розница,8,6532,56175,22335
2025-03-14,Центральный,Воронеж,Книги,Роман,Розница,5,664,3569,1018
2025-03-14,Уральский,Екатеринбург,Книги,Учебник,Розница,7,1208,9090,1992
2025-03-14,Центральный,Воронеж,Электроника,Смартфон,Онлайн,4,46418,199597,72104
2025-03-14,Уральский,Челябинск,Книги,Роман,Онлайн,1,644,692,273
2025-03-15,Южный,Краснодар,Книги,Роман,Розница,6,770,4966,1635
2025-03-15,Уральский,Екатеринбург,Электроника,Наушники,Онлайн,3,5818,18763,6834
2025-03-15,Уральский,Челябинск,Книги,Роман,Онлайн,8,731,6287,2118
2025-03-15,Южный,Сочи,Электроника,Смартфон,Онлайн,6,46332,298841,83889
2025-03-15,Приволжский,Нижний Новгород,Бытовая техника,Холодильник,Онлайн,6,52622,339412,71407
2025-03-16,Приволжский,Казань,Книги,Учебник,Розница,1,1257,1351,310
2025-03-16,Уральский,Челябинск,Электроника,Наушники,Онлайн,4,5647,24282,6360
2025-03-16,Центральный,Тула,Бытовая техника,Пылесос,Розница,6,13152,84830,35757
2025-03-16,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,2,1164,2503,597
